HudongItem1,relation,HudongItem2
低,instance of,汉字
密,sex or gender,男性
林相,sex or gender,男性
密,country of citizenship,中国
竹林,instance of,姓氏
天然林,subclass of,疏林
健康,instance of,需要
林相,country of citizenship,明朝
耕地,use,耕作
竹林,language of work or name,日语
高,instance of,姓氏
天然林,country,英国
健康,instance of,商品
林相,family name,林
耕地,opposite of,放牧地
高,writing system,汉字
天然林,said to be the same as,原始森林
大果圆柏,taxon rank,种
算盘子,taxon rank,种
高,different from,Gao
健康,opposite of,疾病
草地,different from,草原
密,place of birth,北京市
杜英,taxon rank,种
紫檀,taxon rank,种
香槐,taxon rank,种
千斤拔,taxon rank,种
密,place of death,北京市
杜英,parent taxon,杜英属
蚬木,taxon rank,种
紫椴,taxon rank,种
橄榄,subclass of,水果
紫椴,parent taxon,椴树属
银钩花,taxon rank,种
橄榄,color,黑色
黄杞,taxon rank,种
枫杨,taxon rank,种
红豆杉,taxon rank,种
黄杞,parent taxon,黄杞属
枫杨,parent taxon,枫杨属
阿丁枫,taxon rank,种
马蹄荷,taxon rank,种
壳菜果,taxon rank,种
盆架树,taxon rank,种
海南狗牙花,taxon rank,种
阿丁枫,parent taxon,蕈树属
马蹄荷,parent taxon,马蹄荷属
盆架树,parent taxon,盆架树属
密,position held,军机大臣
密,head of government,general
密,ethnic group,满族
欧松,sex or gender,男性
雨林,subclass of,森林
雅鲁藏布江,instance of,河流
柃木,taxon rank,种
雅鲁藏布江,mouth of the watercourse,恒河
欧松,occupation,王
闽江,instance of,河流
钱塘江,instance of,河流
珠江,instance of,河流
淮河,instance of,河流
汉江,instance of,河流
柃木,parent taxon,柃属
怒江,mouth of the watercourse,安达曼海
澜沧江,origin of the watercourse,青藏高原
闽江,mouth of the watercourse,东海
钱塘江,instance of,溪
珠江,mouth of the watercourse,南海
淮河,mouth of the watercourse,洪泽湖
汉江,mouth of the watercourse,长江
雅鲁藏布江,country,中华人民共和国
澜沧江,mouth of the watercourse,南海
闽江,country,中华人民共和国
钱塘江,mouth of the watercourse,杭州湾
珠江,tributary,西江
汉江,tributary,丹江
闽江,located in the administrative territorial entity,福建省
原鸽,taxon rank,种
珠江,tributary,东江
汉江,drainage basin,长江流域
钱塘江,country,中华人民共和国
珠江,tributary,流溪河
汉江,continent,亚洲
大杜鹃,taxon rank,种
棕腹杜鹃,taxon rank,种
鹰鹃,taxon rank,种
红翅凤头鹃,taxon rank,种
钱塘江,located in the administrative territorial entity,浙江省
珠江,basin country,中华人民共和国
汉江,country,中华人民共和国
大杜鹃,parent taxon,杜鹃属
珠江,country,中华人民共和国
淮河,tributary,涡河
汉江,located in the administrative territorial entity,陕西省
珠江,located in the administrative territorial entity,贵州省
淮河,lakes on river,洪泽湖
怒江,continent,亚洲
淮河,drainage basin,长江流域
怒江,country,中华人民共和国
澜沧江,tributary,蒙河
淮河,basin country,中华人民共和国
怒江,country,泰国
淮河,country,中华人民共和国
怒江,country,缅甸
淮河,located in the administrative territorial entity,安徽省
怒江,located in the administrative territorial entity,西藏自治区
淮河,located in the administrative territorial entity,河南省
淮河,located in the administrative territorial entity,江苏省
伯劳科,taxon rank,科
红尾伯劳,taxon rank,种
太平鸟,taxon rank,种
伯劳科,parent taxon,雀形目
澜沧江,basin country,中华人民共和国
伯劳科,Code of nomenclature,国际动物命名法规
澜沧江,continent,亚洲
澜沧江,country,中华人民共和国
澜沧江,country,缅甸
澜沧江,country,泰国
澜沧江,country,老挝
澜沧江,country,柬埔寨
澜沧江,country,越南
画眉,taxon rank,种
白颊噪鹛,taxon rank,种
细纹噪鹛,taxon rank,种
燕雀,taxon rank,种
雀科,taxon rank,科
布氏田鼠,taxon rank,种
麝鼠,taxon rank,种
黄兔尾鼠,taxon rank,种
中华鼢鼠,taxon rank,种
长爪沙鼠,taxon rank,种
大仓鼠,taxon rank,种
黑线仓鼠,taxon rank,种
中华鼢鼠,taxon synonym,中华鼢鼠
针毛鼠,taxon rank,种
黄毛鼠,taxon rank,种
黄胸鼠,taxon rank,种
黑线姬鼠,taxon rank,种
大林姬鼠,taxon rank,种
巢鼠,taxon rank,种
鼠科,taxon rank,科
大竹鼠,taxon rank,种
猪尾鼠,taxon rank,种
鼠科,parent taxon,鼠
三趾跳鼠,taxon rank,种
侧纹岩松鼠,taxon rank,种
河狸科,taxon rank,属
达乌尔黄鼠,taxon rank,种
赤腹松鼠,taxon rank,种
达乌尔鼠兔,taxon rank,种
鼠兔科,taxon rank,属
雪兔,taxon rank,种
草兔,taxon rank,种
兔科,taxon rank,科
草兔,parent taxon,野兔
兔科,parent taxon,兔形目
盘羊,taxon rank,种
岩羊,taxon rank,种
塔尔羊,taxon rank,种
斑羚,taxon rank,种
鬣羚,taxon rank,种
羚牛,taxon rank,种
水鹿,taxon rank,种
梅花鹿,taxon rank,种
坡鹿,taxon rank,种
麋鹿,taxon rank,种
狍,taxon rank,属
豚鹿,taxon rank,种
毛冠鹿,taxon rank,种
驼鹿,taxon rank,种
黑麂,taxon rank,种
小麂,taxon rank,种
麂,taxon rank,属
白唇鹿,taxon rank,种
黑麂,parent taxon,麂
小麂,parent taxon,麂
林麝,taxon rank,种
鹿科,taxon rank,科
鼷鹿科,taxon rank,科
骆驼科,taxon rank,科
野猪,taxon rank,种
猪科,taxon rank,科
野猪,parent taxon,猪属
猪科,parent taxon,猪形亚目
野马,taxon rank,种
鹿科,parent taxon,偶蹄目
马科,subclass of,动物
虎,subclass of,猫科
豹,subclass of,哺乳动物
云豹,taxon rank,种
鼷鹿科,parent taxon,偶蹄目
骆驼科,parent taxon,偶蹄目
野马,parent taxon,马属
马科,taxon rank,科
雪豹,taxon rank,种
虎,subclass of,哺乳动物
豹,taxon rank,种
马科,parent taxon,奇蹄目
虎,taxon rank,种
鹿科,this taxon is source of,鹿肉
鼷鹿科,Code of nomenclature,国际动物命名法规
骆驼科,Code of nomenclature,国际动物命名法规
鹿科,use,鹿
虎,main food source,猴
马科,Code of nomenclature,国际动物命名法规
虎,main food source,雉科
虎,main food source,兔科
虎,main food source,鱼
虎,main food source,犬
虎,main food source,坚果
虎,main food source,草本植物
虎,main food source,水果
香鼬,taxon rank,种
黄鼬,taxon rank,种
紫貂,taxon rank,种
貂熊,taxon rank,种
石貂,taxon rank,种
鼬科,taxon rank,科
白鼬,taxon rank,种
大熊猫,taxon rank,种
大熊猫科,taxon rank,科
浣熊科,taxon rank,科
黑熊,sex or gender,男性
棕熊,taxon rank,种
熊科,taxon rank,科
豺,taxon rank,种
黑熊,country of citizenship,美国
白鼬,main food source,穴兔
藏狐,taxon rank,种
沙狐,taxon rank,种
赤狐,taxon rank,种
犬科,taxon rank,科
穿山甲,taxon rank,属
白眉长臂猿,taxon rank,属
藏狐,parent taxon,狐属
沙狐,parent taxon,狐属
赤狐,parent taxon,狐属
狼,taxon rank,种
白眉长臂猿,parent taxon,长臂猿
熊科,use,熊
鼬科,Code of nomenclature,国际动物命名法规
大熊猫科,Code of nomenclature,国际动物命名法规
黔金丝猴,taxon rank,种
金丝猴,taxon rank,属
短尾猴,taxon rank,种
豚尾猴,taxon rank,种
浣熊科,Code of nomenclature,国际动物命名法规
黔金丝猴,parent taxon,金丝猴
犬科,habitat,大陆
穿山甲,different from,鳞甲目
狼,main food source,穴兔
赤狐,different from,狐
狼,main food source,腐肉
狼,main food source,驯鹿
狼,main food source,鹿科
熊猴,taxon rank,种
猴科,taxon rank,科
蜂猴,taxon rank,种
树鼩,taxon rank,种
狼,main food source,ibex
狼,main food source,旅鼠
猴科,Code of nomenclature,国际动物命名法规
狼,main food source,田鼠
狼,main food source,羊
狼,main food source,家牛
狼,main food source,犬
大棕蝠,taxon rank,种
普通蝙蝠,taxon rank,种
狼,main food source,浆果
狼,main food source,梨
蝙蝠科,taxon rank,科
狼,main food source,葡萄
狼,main food source,禾草
蝙蝠科,parent taxon,蝙蝠
蝙蝠科,Code of nomenclature,国际动物命名法规
狼,main food source,赤狐
狼,main food source,海狸鼠
狼,main food source,貉
狼,main food source,鸟纲
狼,main food source,鱼
狐蝠科,taxon rank,科
狐蝠科,parent taxon,蝙蝠
短尾鼩,taxon rank,种
大麝鼩,taxon rank,种
狐蝠科,natural reservoir of,埃博拉病毒
臭鼩,taxon rank,种
刺猬,taxon rank,亚科
雪鹀,taxon rank,种
大耳猬,taxon rank,种
锡嘴雀,taxon rank,种
黑尾蜡嘴雀,taxon rank,种
锡嘴雀,country of origin,阿尔及利亚
黄雀,taxon rank,种
麻雀,taxon rank,种
文鸟科,taxon rank,科
文鸟科,parent taxon,雀形目
文鸟科,Code of nomenclature,国际动物命名法规
太阳鸟科,taxon rank,科
啄花鸟科,taxon rank,科
太阳鸟科,parent taxon,雀形目
啄花鸟科,Code of nomenclature,国际动物命名法规
太阳鸟科,Code of nomenclature,国际动物命名法规
攀雀科,taxon rank,科
攀雀科,parent taxon,雀形目
旋木雀,taxon rank,种
褐头山雀,taxon rank,种
沼泽山雀,taxon rank,种
攀雀科,Code of nomenclature,国际动物命名法规
煤山雀,taxon rank,种
黄腹山雀,taxon rank,种
旋木雀,main food source,无脊椎动物
大山雀,taxon rank,种
山雀科,taxon rank,科
山雀科,main food source,昆虫
山雀科,Code of nomenclature,国际动物命名法规
棕头鸦雀,taxon rank,种
杂色噪鹛,taxon rank,种
棕颈钩嘴鹛,taxon rank,种
鹪鹩,taxon rank,种
鹪鹩科,taxon rank,科
鹪鹩科,parent taxon,雀形目
河乌科,taxon rank,属
小嘴乌鸦,taxon rank,种
大嘴乌鸦,taxon rank,种
小嘴乌鸦,parent taxon,乌鸦
大嘴乌鸦,parent taxon,乌鸦
秃鼻乌鸦,taxon rank,种
秃鼻乌鸦,parent taxon,乌鸦
灰喜鹊,taxon rank,种
红嘴蓝鹊,taxon rank,种
松鸦,taxon rank,种
鸦科,taxon rank,科
鹩哥,taxon rank,种
八哥,taxon rank,种
灰椋鸟,taxon rank,种
鸦科,Code of nomenclature,国际动物命名法规
椋鸟科,taxon rank,科
椋鸟科,parent taxon,雀形目
灰卷尾,taxon rank,种
卷尾科,taxon rank,科
卷尾科,parent taxon,雀形目
黄鹂科,taxon rank,科
椋鸟科,Code of nomenclature,国际动物命名法规
黄鹂科,parent taxon,雀形目
卷尾科,Code of nomenclature,国际动物命名法规
黄鹂科,Code of nomenclature,国际动物命名法规
田鹨,taxon rank,种
金腰燕,taxon rank,种
岩燕,taxon rank,种
燕科,taxon rank,科
角百灵,taxon rank,种
云雀,taxon rank,种
燕科,parent taxon,雀形目
百灵科,taxon rank,科
燕科,Code of nomenclature,国际动物命名法规
百灵科,Code of nomenclature,国际动物命名法规
八色鸫科,taxon rank,科
八色鸫科,parent taxon,雀形目
长尾阔嘴鸟,taxon rank,种
阔嘴鸟科,taxon rank,科
八色鸫科,Code of nomenclature,国际动物命名法规
棕腹啄木鸟,taxon rank,种
黄颈啄木鸟,taxon rank,种
阔嘴鸟科,Code of nomenclature,国际动物命名法规
栗啄木鸟,taxon rank,种
白喉犀鸟,taxon rank,种
戴胜,taxon rank,种
三宝鸟,taxon rank,种
鸱鸮科,taxon rank,科
草鸮科,taxon rank,科
草鸮科,Code of nomenclature,国际动物命名法规
小鸦鹃,taxon rank,种
翠金鹃,taxon rank,种
噪鹃,taxon rank,种
紫金鹃,taxon rank,种
杜鹃科,taxon rank,科
乌鹃,taxon rank,种
杜鹃科,parent taxon,鹃形目
鹦鹉科,taxon rank,科
火斑鸠,taxon rank,种
灰斑鸠,taxon rank,种
山斑鸠,taxon rank,种
斑尾鹃鸠,taxon rank,种
岩鸽,taxon rank,种
山皇鸠,taxon rank,种
黄脚绿鸠,taxon rank,种
红翅绿鸠,taxon rank,种
鸠鸽科,taxon rank,科
鹦鹉科,Code of nomenclature,国际动物命名法规
杜鹃科,Code of nomenclature,国际动物命名法规
鸠鸽科,parent taxon,鸽形目
鸠鸽科,Code of nomenclature,国际动物命名法规
角嘴海雀,taxon rank,种
海雀科,taxon rank,科
沙鸡科,taxon rank,科
乌燕鸥,taxon rank,种
红嘴鸥,taxon rank,种
海雀科,Code of nomenclature,国际动物命名法规
海鸥,taxon rank,种
黑尾鸥,taxon rank,种
鸥科,taxon rank,科
海鸥,parent taxon,鸥属
黑尾鸥,parent taxon,鸥属
燕鸻科,taxon rank,科
燕鸻科,parent taxon,鸻形目
贼鸥科,taxon rank,科
贼鸥科,parent taxon,鸻形目
燕鸻科,Code of nomenclature,国际动物命名法规
红颈瓣蹼鹬,taxon rank,种
贼鸥科,Code of nomenclature,国际动物命名法规
大杓鹬,taxon rank,种
鹬科,taxon rank,科
鹤鹬,taxon rank,种
小杓鹬,taxon rank,种
鹬科,parent taxon,鸻形目
环颈鸻,taxon rank,种
灰头麦鸡,taxon rank,种
鹬科,Code of nomenclature,国际动物命名法规
鸻科,taxon rank,科
彩鹬,taxon rank,种
彩鹬科,taxon rank,科
大鸨,taxon rank,种
小鸨,taxon rank,种
骨顶鸡,taxon rank,种
鸻科,parent taxon,鸻形目
彩鹬科,parent taxon,鸻形目
大鸨,parent taxon,Otis
彩鹬科,Code of nomenclature,国际动物命名法规
黑水鸡,taxon rank,种
红胸田鸡,taxon rank,种
长脚秧鸡,taxon rank,种
蓝胸秧鸡,taxon rank,种
秧鸡科,taxon rank,科
白鹤,taxon rank,种
丹顶鹤,taxon rank,种
秧鸡科,parent taxon,鹤形目
白头鹤,taxon rank,种
黑颈鹤,taxon rank,种
蓑羽鹤,taxon rank,种
赤颈鹤,taxon rank,种
灰鹤,taxon rank,种
鹤科,taxon rank,科
黄脚三趾鹑,taxon rank,种
三趾鹑科,taxon rank,科
绿孔雀,taxon rank,种
鹤科,parent taxon,鹤形目
绿孔雀,parent taxon,孔雀
鹤科,Code of nomenclature,国际动物命名法规
三趾鹑科,Code of nomenclature,国际动物命名法规
白冠长尾雉,taxon rank,种
白腹锦鸡,taxon rank,种
白颈长尾雉,taxon rank,种
褐马鸡,taxon rank,种
蓝马鸡,taxon rank,种
雉鸡,taxon rank,种
绿尾虹雉,taxon rank,种
白鹇,taxon rank,种
黑鹇,taxon rank,种
蓝鹇,taxon rank,种
棕尾虹雉,taxon rank,种
黄腹角雉,taxon rank,种
红腹角雉,taxon rank,种
灰腹角雉,taxon rank,种
红胸角雉,taxon rank,种
血雉,taxon rank,种
斑翅山鹑,taxon rank,种
鹌鹑,taxon rank,种
高原山鹑,taxon rank,种
石鸡,taxon rank,种
雉鹑,taxon rank,种
雉科,taxon rank,科
斑尾榛鸡,taxon rank,种
雉科,parent taxon,鸡形目
松鸡,taxon rank,种
松鸡科,taxon rank,亚科
灰背隼,taxon rank,种
燕隼,taxon rank,种
松鸡科,parent taxon,雉科
游隼,taxon rank,种
灰背隼,parent taxon,隼
游隼,parent taxon,隼
隼科,taxon rank,科
白头鹞,taxon rank,种
隼科,parent taxon,隼形目
隼科,Code of nomenclature,国际动物命名法规
雉科,Code of nomenclature,国际动物命名法规
白尾鹞,taxon rank,种
金雕,taxon rank,种
鹰雕,taxon rank,种
玉带海雕,taxon rank,种
白肩雕,taxon rank,种
雀鹰,taxon rank,种
凤头鹰,taxon rank,种
白尾海雕,taxon rank,种
苍鹰,taxon rank,种
鹰科,taxon rank,科
中华秋沙鸭,taxon rank,种
鹰科,parent taxon,隼形目
鹰科,Code of nomenclature,国际动物命名法规
长尾鸭,taxon rank,种
鹊鸭,taxon rank,种
红头潜鸭,taxon rank,种
凤头潜鸭,taxon rank,种
鸳鸯,taxon rank,种
琵嘴鸭,taxon rank,种
斑嘴鸭,taxon rank,种
大天鹅,taxon rank,种
大天鹅,parent taxon,Cygnus
斑头雁,taxon rank,种
灰雁,taxon rank,种
小天鹅,taxon rank,种
小天鹅,parent taxon,Cygnus
鸿雁,taxon rank,种
鸭科,taxon rank,科
鸭科,parent taxon,雁形目
黑鹳,taxon rank,种
白鹳,taxon rank,种
鹳科,taxon rank,科
鹳科,parent taxon,鹳形目
鹳科,Code of nomenclature,国际动物命名法规
池鹭,taxon rank,种
大白鹭,taxon rank,种
白鹭,taxon rank,种
牛背鹭,taxon rank,种
鹭科,taxon rank,科
苍鹭,taxon rank,种
白斑军舰鸟,taxon rank,种
鹭科,parent taxon,鹈形目
军舰鸟科,taxon rank,属
海鸬鹚,taxon rank,种
鸬鹚科,taxon rank,属
褐鲣鸟,taxon rank,种
红脚鲣鸟,taxon rank,种
军舰鸟科,parent taxon,军舰鸟
鹭科,Code of nomenclature,国际动物命名法规
鲣鸟科,taxon rank,科
斑嘴鹈鹕,taxon rank,种
白鹈鹕,taxon rank,种
鹈鹕科,taxon rank,属
鹲科,taxon rank,属
海燕科,taxon rank,科
斑嘴鹈鹕,parent taxon,鹈鹕
白鹈鹕,parent taxon,鹈鹕
海燕科,parent taxon,鹱形目
鲣鸟科,parent taxon,鹈形目
鲣鸟科,Code of nomenclature,国际动物命名法规
海燕科,Code of nomenclature,国际动物命名法规
鹱科,taxon rank,科
信天翁科,taxon rank,科
鹱科,parent taxon,鹱形目
信天翁科,parent taxon,鹱形目
海蝰,taxon rank,种
尖吻蝮,taxon rank,种
草原蝰,taxon rank,种
蝰蛇,taxon rank,亚科
鹱科,Code of nomenclature,国际动物命名法规
信天翁科,Code of nomenclature,国际动物命名法规
蝰蛇,different from,蛇
白头蝰,taxon rank,种
丽纹蛇,taxon rank,种
极北蝰,taxon rank,种
花条蛇,taxon rank,种
黑斑水蛇,taxon rank,种
眼镜王蛇,taxon rank,种
紫沙蛇,taxon rank,种
眼镜蛇科,taxon rank,科
繁花林蛇,taxon rank,种
绿瘦蛇,taxon rank,种
乌梢蛇,taxon rank,种
滑鼠蛇,taxon rank,种
灰鼠蛇,taxon rank,种
广西后棱蛇,taxon rank,种
翠青蛇,taxon rank,种
黑眉锦蛇,taxon rank,种
红点锦蛇,taxon rank,种
王锦蛇,taxon rank,种
粉链蛇,taxon rank,种
赤链蛇,taxon rank,种
黄脊游蛇,taxon rank,种
滇西蛇,taxon rank,种
钝头蛇,taxon rank,种
美姑脊蛇,taxon rank,种
台湾脊蛇,taxon rank,种
游蛇科,taxon rank,科
鳄蜥,taxon rank,种
大盲蛇,taxon rank,种
大盲蛇,parent taxon,盲蛇
雪山草蜥,taxon rank,种
黑龙江草蜥,taxon rank,种
游蛇科,Code of nomenclature,国际动物命名法规
粗疣壁虎,taxon rank,种
大壁虎,taxon rank,种
壁虎,taxon rank,科
壁虎科,taxon rank,亚科
西藏沙蜥,taxon rank,种
南疆沙蜥,taxon rank,种
白条沙蜥,taxon rank,种
蜡皮蜥,taxon rank,种
丽棘蜥,taxon rank,种
鬣蜥科,taxon rank,科
山瑞鳖,taxon rank,种
鳖,taxon rank,科
鼋,taxon rank,种
棱皮龟科,taxon rank,科
玳瑁,taxon rank,种
陆龟科,taxon rank,科
鳖,Code of nomenclature,国际动物命名法规
花龟,taxon rank,种
大头乌龟,taxon rank,种
棱皮龟科,Code of nomenclature,国际动物命名法规
乌龟,country of origin,大韩民国
陆龟科,Code of nomenclature,国际动物命名法规
平胸龟,taxon rank,种
鬣蜥科,Code of nomenclature,国际动物命名法规
饰纹姬蛙,taxon rank,种
武夷湍蛙,taxon rank,种
崇安湍蛙,taxon rank,种
泽蛙,taxon rank,种
隆肛蛙,taxon rank,种
日本林蛙,taxon rank,种
蛙科,taxon rank,科
蛙科,parent taxon,无尾目
华西雨蛙,taxon rank,种
中国雨蛙,taxon rank,种
雨蛙科,taxon rank,科
雨蛙科,parent taxon,无尾目
黑眶蟾蜍,taxon rank,种
花背蟾蜍,taxon rank,种
崇安髭蟾,taxon rank,种
小地老虎,taxon rank,种
夜蛾科,taxon rank,科
舟蛾科,taxon rank,科
灯蛾科,taxon rank,科
霜天蛾,taxon rank,种
绒星天蛾,taxon rank,种
天蛾科,taxon rank,科
尺蛾科,taxon rank,科
草地螟,taxon rank,种
家蚕,taxon rank,种
桃蛀螟,taxon rank,种
螟蛾科,taxon rank,科
斑蛾科,taxon rank,科
刺蛾科,taxon rank,科
鞘蛾科,taxon rank,科
细蛾科,taxon rank,科
蝙蝠蛾科,taxon rank,科
家蚕,this taxon is source of,丝绸
花蝇科,taxon rank,科
地中海实蝇,taxon rank,种
实蝇科,taxon rank,科
绿豆象,taxon rank,亚科
星天牛,taxon rank,种
天牛科,taxon rank,科
萤科,taxon rank,科
锹甲科,taxon rank,科
盾蝽科,taxon rank,科
盲蝽科,taxon rank,科
荔蝽,taxon rank,种
茶翅蝽,taxon rank,种
蝽科,taxon rank,科
粉蚧科,taxon rank,科
梨二叉蚜,taxon rank,种
玉米蚜,taxon rank,种
桃蚜,taxon rank,种
枝,instance of,汉字
豆蚜,taxon rank,种
蚜科,taxon rank,科
粉虱科,taxon rank,科
同翅目,taxon rank,目
黑翅土白蚁,taxon rank,种
蝽科,main food source,幼虫
豆蚜,parent taxon,Aphis
蚜科,parent taxon,蚜虫
面积,instance of,标量
蜚蠊科,taxon rank,科
德国小蠊,taxon rank,种
蝗科,taxon rank,科
直翅目,taxon rank,目
粉虱科,parent taxon,半翅目
水泵,subclass of,工具
面积,subclass of,物理量
科,part of,亚目
德国小蠊,habitat,地球
水泵,subclass of,机械
科,part of,目
自然保护区,subclass of,保护区
仓库,subclass of,数据库
类型,subclass of,数据结构
科,part of,order
职业,language of work or name,汉语
年龄,instance of,部分
坡度,subclass of,物理量
科,part of,group
职业,published in,城市规划
海拔,subclass of,高度
降水量,subclass of,物理量
结构,subclass of,实体
年龄,subclass of,物理量
降水量,facet of,降水
性质,instance of,范畴
数量,has parts of the class,势
起源,instance of,文学作品
颜色,instance of,物理性质
可燃物,subclass of,化学物质
性质,subclass of,实体
数量,different from,量值
颜色,instance of,材料
天气,part of,大气层
性质,studied by,材料科学
类型,said to be the same as,type
数量,said to be the same as,量值
年龄,measured by,岁
姓名,has part,姓氏
海拔,different from,相对高度
刨花板,subclass of,纤维板
纤维板,subclass of,人造板
人造板,subclass of,木材
胶合板,subclass of,人造板
天气,studied by,气象学
结构,different from,结构
军队,different from,陆军
姓名,has part,名字
海拔,different from,高度
胶合板,subclass of,复合材料
铁杉,taxon rank,种
樟子松,taxon rank,变种
数量,facet of,量度
海拔,different from,位势高度
起源,country of origin,美国
广州管圆线虫病,instance of,疾病
天气,has quality,量值
起源,language of work or name,英语
起源,narrative location,马德里
广州管圆线虫病,subclass of,脑膜炎
可燃物,has parts of the class,还原剂
颜色,has part,原色
狂犬病,instance of,疾病
牛痘,instance of,疾病
猴痘,instance of,疾病
口蹄疫,has cause,感染
黄热病,instance of,疾病
流行性乙型脑炎,instance of,疾病
猫传染性腹膜炎,subclass of,腹膜炎
白喉,instance of,疾病
猪瘟,taxon rank,种
破伤风,instance of,疾病
猴痘,has cause,感染
牛痘,has cause,感染
